genre,file_number,spectral_centroid,spectral_flux_mean,chroma_features,tonal_centroid,tempo,hnr
blues,14,787.2790677,25445.877,"[0.38654929399490356, 0.38305553793907166, 0.4273078441619873, 0.35751450061798096, 0.4167255163192749, 0.519123375415802, 0.4275224208831787, 0.40031319856643677, 0.4512227475643158, 0.5022756457328796, 0.686331570148468, 0.5665760636329651]","[[ 2.60889719e-03  3.38697329e-03  3.09076190e-03 ...  8.82353063e-03
   8.18250254e-03  5.32295089e-03]
 [ 8.93360945e-05  1.19886620e-03  4.71354066e-03 ... -6.68659252e-03
   9.47905732e-04  3.69703195e-03]
 [ 1.02813542e-03  4.11584973e-03  2.07656622e-03 ...  9.31781530e-03
   8.60554725e-03  4.35404480e-03]
 [ 3.95335257e-03  5.93506545e-03  1.04880407e-02 ...  1.18889362e-02
   1.77676156e-02  1.33245885e-02]
 [ 1.39564918e-03  1.73579671e-03  2.04104970e-03 ...  5.21895925e-03
   9.10287987e-03  6.91776117e-03]
 [-1.50575675e-03 -2.74143741e-03 -3.64284404e-03 ...  3.51610407e-03
   2.81860307e-03 -1.77131966e-04]]",161.4990234,-92.482445
blues,15,1156.0793,33206.57,"[0.4595909118652344, 0.3639615476131439, 0.4158867597579956, 0.4464786946773529, 0.4798068106174469, 0.511544942855835, 0.5417870879173279, 0.41867581009864807, 0.42568305134773254, 0.4740462601184845, 0.5344482660293579, 0.6435045599937439]","[[ 0.00300375  0.00410481  0.00635846 ...  0.00507547  0.00174821
   0.00054909]
 [-0.00122945 -0.00259852 -0.00342622 ... -0.00061825  0.00105201
   0.00312467]
 [ 0.00173692  0.00672948  0.00511845 ... -0.00034321  0.00222557
   0.00108256]
 [ 0.00691758  0.00870527  0.00827692 ...  0.0143649   0.01391435
   0.0074994 ]
 [ 0.00486952  0.00486726  0.00270069 ...  0.00344178  0.00219096
   0.00174364]
 [-0.00204589 -0.00177228 -0.00133258 ... -0.00153564 -0.00360836
  -0.00157372]]",129.1992188,-76.3974
blues,16,1097.446698,37112.55,"[0.43289485573768616, 0.39555132389068604, 0.3333185017108917, 0.42703333497047424, 0.6335263848304749, 0.49423956871032715, 0.47543153166770935, 0.5502313375473022, 0.6411737203598022, 0.6896387338638306, 0.5104847550392151, 0.4636121094226837]","[[-0.000219    0.00023832  0.00248185 ... -0.00922387 -0.00807448
  -0.00526011]
 [-0.0038684  -0.00429389 -0.00202906 ...  0.00978729  0.00936945
   0.00495081]
 [ 0.00582755  0.00110056 -0.00652903 ...  0.01898936  0.01830377
   0.00828656]
 [ 0.01767735  0.01695617  0.01668145 ... -0.00022868  0.0027566
  -0.00248652]
 [ 0.00574094  0.00238039 -0.00041484 ... -0.00188626 -0.00141255
   0.00168671]
 [-0.00357667 -0.00351551 -0.00033577 ... -0.00485643 -0.00503564
  -0.0024213 ]]",132.5120192,-80.542564
blues,17,833.2559126,32698.152,"[0.4521542489528656, 0.4145756959915161, 0.3442593216896057, 0.3739832043647766, 0.5734227895736694, 0.4769536256790161, 0.48790010809898376, 0.5476126670837402, 0.6151857376098633, 0.7136108875274658, 0.5280274748802185, 0.47236213088035583]","[[-4.45056017e-06 -3.26350500e-03 -2.33164143e-03 ... -1.38332979e-02
  -6.80544877e-03 -4.12562356e-03]
 [-1.92380819e-03 -1.94016221e-03 -1.84488825e-03 ...  2.41413671e-03
   5.51110065e-04  3.90578945e-05]
 [ 2.69836187e-03 -3.44768167e-04  4.48681414e-04 ...  2.44179890e-02
   1.42364576e-02  1.67240053e-02]
 [ 9.04084742e-03  8.90702754e-03  8.61887634e-03 ...  2.45510936e-02
   2.39908993e-02  2.14835778e-02]
 [ 2.33981481e-03  2.09894056e-03  2.47342449e-03 ...  3.70575394e-03
   8.58674658e-04  1.20206129e-03]
 [ 3.07371840e-04  2.31793150e-04  2.37092189e-03 ... -7.13836960e-03
  -7.21675716e-03 -5.86660206e-03]]",112.3471467,-106.65684
blues,19,1133.267029,34563.344,"[0.37858080863952637, 0.40041813254356384, 0.33120933175086975, 0.44973403215408325, 0.5515276193618774, 0.3600042164325714, 0.34388467669487, 0.4446873664855957, 0.5998678803443909, 0.6723691821098328, 0.44197213649749756, 0.3969224691390991]","[[ 6.51834844e-03  7.66879416e-03  9.58074171e-03 ...  9.53912487e-03
   1.07231749e-02  6.83366737e-03]
 [ 1.01565820e-03  5.57425961e-04  2.34375001e-03 ... -1.41111513e-03
   9.66562588e-04  4.25721277e-04]
 [ 5.35891950e-03  6.09927624e-03  9.70640779e-03 ...  1.54151842e-02
   1.72096193e-02  1.45372152e-02]
 [ 1.87531859e-03 -6.67542219e-04 -1.64162368e-03 ... -1.39845908e-03
   2.65464187e-05  1.22983009e-03]
 [ 4.77199560e-04  1.34809828e-04  1.48184346e-03 ...  6.70593882e-04
   4.29958372e-04  2.21527073e-03]
 [ 3.37377191e-04  1.47783011e-03  1.19233131e-03 ...  1.77299045e-03
   6.63006678e-04  8.06884840e-04]]",123.046875,-84.395615
blues,20,872.5617657,37667.348,"[0.45605233311653137, 0.37330737709999084, 0.42272481322288513, 0.5201734304428101, 0.7076310515403748, 0.49082136154174805, 0.474274605512619, 0.5591106414794922, 0.5811903476715088, 0.49688318371772766, 0.4906052052974701, 0.6090960502624512]","[[ 0.00380988  0.00424167  0.00217878 ... -0.00741321 -0.01198095
  -0.00916855]
 [-0.00184563 -0.0004407   0.00032809 ... -0.00817897 -0.00753062
  -0.00698418]
 [ 0.00158866 -0.00318404 -0.00185613 ... -0.01495336 -0.00959817
  -0.00328123]
 [ 0.00483392  0.00556345  0.00687321 ...  0.02903491  0.02998652
   0.02522802]
 [ 0.00187094  0.00230903  0.00138977 ...  0.00283638  0.00265612
  -0.00027337]
 [-0.0022064  -0.00141929 -0.00085899 ...  0.00377502  0.00487657
   0.00381055]]",135.9991776,-77.13181
blues,21,873.8446047,32075.672,"[0.4611680805683136, 0.3626371920108795, 0.3847808241844177, 0.37260016798973083, 0.47472819685935974, 0.6648784875869751, 0.561312735080719, 0.5646679997444153, 0.5725178718566895, 0.5167348384857178, 0.4512346684932709, 0.415109783411026]","[[ 3.27236274e-03  4.74868765e-03  4.84565205e-03 ...  2.06584438e-03
   7.74479363e-04  1.12710297e-03]
 [-2.53694531e-03 -9.34776075e-04  9.44196507e-05 ... -2.33261991e-03
  -3.76879613e-03 -3.80325710e-03]
 [ 4.68524545e-03  4.51737642e-03  5.88055700e-03 ...  6.78097457e-03
   4.30291146e-03  2.73001939e-03]
 [ 6.16940856e-03  6.14855438e-03  6.47155195e-03 ...  1.72666907e-02
   1.71233416e-02  1.45669281e-02]
 [ 2.27103553e-03  2.52555659e-03  4.22623615e-03 ...  2.90854477e-03
   4.00982615e-03  1.92368068e-03]
 [-3.63357365e-04 -6.04111701e-04  1.13849901e-03 ... -2.71007791e-03
  -3.68180498e-03 -3.32131423e-03]]",129.1992188,-108.41662
blues,23,937.2680826,33201.996,"[0.3960564136505127, 0.4760516583919525, 0.40127429366111755, 0.42192554473876953, 0.6461819410324097, 0.4434821605682373, 0.33586385846138, 0.422607421875, 0.4944917857646942, 0.8024904131889343, 0.5591815114021301, 0.411401629447937]","[[ 1.07508729e-05  1.87137518e-03  8.19766454e-04 ... -5.84268706e-03
  -4.13111901e-03 -3.80874461e-03]
 [-7.80558268e-03 -8.86105247e-03 -1.28144129e-03 ...  1.88134087e-03
   2.75927540e-04 -1.74897496e-04]
 [ 6.68825209e-03 -1.06499344e-03 -3.84528935e-03 ...  7.53980130e-03
   8.68687034e-03  7.55968690e-03]
 [ 1.09272003e-02  9.59726423e-03  1.22920722e-02 ...  1.05803460e-03
  -3.22508067e-03 -3.63705307e-03]
 [ 2.04189818e-03  2.13716130e-03  1.01358046e-03 ... -8.46231220e-04
  -1.14106360e-03 -7.97664065e-04]
 [-2.23000348e-03 -1.89079344e-03 -2.36556679e-03 ...  1.49277970e-03
   6.13017008e-04  9.28875059e-04]]",129.1992188,-72.85931
blues,24,816.5949333,30720.55,"[0.481191486120224, 0.4194192886352539, 0.4376471936702728, 0.3768949806690216, 0.40914782881736755, 0.46557772159576416, 0.33377930521965027, 0.28265294432640076, 0.33578068017959595, 0.4759717881679535, 0.7169649004936218, 0.6368550062179565]","[[ 0.00394526  0.00310721  0.00209575 ...  0.0009094   0.0015812
   0.00204646]
 [-0.00040551 -0.00237551 -0.00167889 ... -0.00429883 -0.00365541
  -0.00303476]
 [-0.00304238 -0.00061586  0.0021968  ...  0.00804599  0.00683668
   0.0037128 ]
 [ 0.00794771  0.00758774  0.00983096 ...  0.00892151  0.00964671
   0.00980799]
 [ 0.0026305   0.00267465  0.00165523 ...  0.0017766   0.00113351
   0.00158703]
 [-0.001221   -0.00275899 -0.00092635 ... -0.00016259 -0.00028955
  -0.00085449]]",103.359375,-103.67592
blues,25,889.5002209,27601.047,"[0.47242608666419983, 0.4077306091785431, 0.5043555498123169, 0.3899138271808624, 0.4334234893321991, 0.5466081500053406, 0.3692324459552765, 0.33988893032073975, 0.4064244329929352, 0.5674516558647156, 0.836428701877594, 0.5722309947013855]","[[ 0.00105315  0.00372114  0.00564782 ...  0.00245675  0.00153522
   0.00072838]
 [-0.00388522 -0.00599592 -0.00334726 ...  0.00108596  0.00214153
   0.00022346]
 [-0.00560869 -0.00691392 -0.00878746 ... -0.0036324  -0.00696909
  -0.00591516]
 [ 0.01803178  0.0160235   0.01601737 ...  0.01335082  0.01527671
   0.01562304]
 [ 0.00148182  0.00326123  0.00331907 ...  0.00011622  0.00055559
   0.00179852]
 [-0.00243284 -0.00130208 -0.0004416  ... -0.00270188 -0.00334039
  -0.00242278]]",126.0480183,-95.251495
blues,26,933.5835846,20693.16,"[0.5297090411186218, 0.41223758459091187, 0.4221133887767792, 0.3688528835773468, 0.40525856614112854, 0.5870546102523804, 0.4217022657394409, 0.3771459460258484, 0.4539186358451843, 0.4687875211238861, 0.6040776968002319, 0.579235315322876]","[[ 5.62324780e-04  7.51905778e-04  1.42020503e-03 ...  6.66136825e-03
   4.80311874e-03  3.27959231e-03]
 [ 7.97231354e-04  3.46515874e-04 -3.64382498e-04 ... -3.52692505e-03
  -1.88328130e-03  3.48871722e-04]
 [-6.80178404e-04  9.18015838e-04  2.50859559e-03 ...  4.17331606e-03
   5.86442649e-04 -3.42339277e-04]
 [ 6.76187128e-03  6.61230832e-03  4.28395718e-03 ...  2.35570520e-02
   2.30499655e-02  1.16567686e-02]
 [ 4.58861862e-04  8.68024174e-04  1.51698641e-03 ...  2.36915706e-03
   2.15446016e-03  5.24676261e-05]
 [-1.34711340e-03 -1.67930312e-03 -1.90421380e-03 ...  2.28432566e-03
   6.04022294e-04 -7.33131543e-04]]",166.7086694,-78.48073
blues,27,1314.000336,34015.56,"[0.48924633860588074, 0.421962171792984, 0.47741246223449707, 0.43814122676849365, 0.584976315498352, 0.45967429876327515, 0.3970530927181244, 0.3177140951156616, 0.39262422919273376, 0.3968774974346161, 0.46876049041748047, 0.7017829418182373]","[[-0.0052395  -0.01072428 -0.00887355 ... -0.01313833 -0.01200639
  -0.00826796]
 [ 0.00825144  0.00967932  0.00784107 ...  0.01611246  0.01524782
   0.01391485]
 [-0.01112604 -0.01466405 -0.00918442 ... -0.02255254 -0.01848125
  -0.01122993]
 [-0.00142189 -0.01686247 -0.02022897 ... -0.00494228 -0.01000997
   0.00237651]
 [ 0.00331255  0.00502139  0.00790694 ...  0.0026177   0.00339679
   0.00246355]
 [ 0.00482116  0.00526319  0.00462595 ...  0.00341909  0.00312377
   0.00077177]]",120.1853198,-73.43123
blues,28,879.3865646,30099.752,"[0.48688235878944397, 0.4372654855251312, 0.4957461357116699, 0.3969748318195343, 0.4356125295162201, 0.5435826778411865, 0.37734654545783997, 0.31095483899116516, 0.3866156339645386, 0.5291329622268677, 0.7063198089599609, 0.5915951728820801]","[[ 0.01757926  0.02053156  0.01365309 ... -0.00092493  0.00018834
   0.00072064]
 [-0.00325831 -0.0029962   0.00299178 ... -0.00423865 -0.00074336
  -0.00324506]
 [-0.01189139 -0.01813799 -0.01515792 ...  0.01266305  0.01400639
   0.00751579]
 [ 0.01627459  0.01203277  0.00258949 ...  0.00786996  0.00628831
   0.01087452]
 [-0.00165426 -0.00344816 -0.00423341 ...  0.00079287  0.00195274
   0.00121669]
 [-0.00224822 -0.00051284  0.00418717 ...  0.00086215  0.002255
   0.00252383]]",103.359375,-105.67984
blues,29,853.1634488,38589.406,"[0.49067971110343933, 0.4977613389492035, 0.547710657119751, 0.4575970768928528, 0.42060795426368713, 0.3838016986846924, 0.41139280796051025, 0.4489796459674835, 0.4738273322582245, 0.5794873833656311, 0.42410242557525635, 0.4203914701938629]","[[ 0.00155049 -0.00126784  0.00019673 ... -0.00144904  0.00134387
   0.00237985]
 [-0.00207632 -0.0022461   0.00550267 ... -0.00419421  0.00075179
   0.00047259]
 [ 0.00469433  0.00973146  0.01741245 ...  0.022571    0.02357219
   0.01368472]
 [ 0.0119339   0.01499034  0.01210357 ...  0.0117637   0.01730089
   0.01130837]
 [ 0.00310984  0.0048434   0.00573976 ...  0.00052834 -0.00072579
   0.00032796]
 [-0.00091239 -0.00079092 -0.00279424 ...  0.00093646  0.00070707
  -0.00106611]]",129.1992188,-113.72667
blues,32,703.1587886,26290.316,"[0.5762932300567627, 0.42063868045806885, 0.3831935524940491, 0.337944358587265, 0.4003116488456726, 0.4854593276977539, 0.4855181872844696, 0.6024971604347229, 0.4441888928413391, 0.45080018043518066, 0.5394312739372253, 0.4905116558074951]","[[ 2.53621520e-03  4.04553005e-03  5.84533239e-03 ...  6.46415691e-03
   6.56094955e-03  1.63243876e-03]
 [ 2.93028850e-03  2.97967113e-04 -1.59598756e-03 ... -6.93883028e-03
  -5.77691490e-03 -6.06700047e-03]
 [-5.68620861e-04  1.64930522e-03  1.74507499e-03 ...  4.14851308e-03
   7.87364691e-03  9.80228931e-03]
 [ 1.64354667e-02  2.10513771e-02  1.98812336e-02 ...  2.31542811e-02
   2.59936079e-02  1.86535269e-02]
 [ 4.27596474e-03  3.54876402e-03  4.41513961e-03 ...  4.47137220e-03
   4.66043697e-03  1.50235884e-03]
 [ 1.33272260e-05  1.88600272e-04  8.03072006e-04 ...  3.83299217e-03
   3.62909772e-03  3.30807827e-03]]",139.6748311,-131.69637
blues,34,714.9300284,41737.445,"[0.4316701889038086, 0.46569833159446716, 0.5630419254302979, 0.42634785175323486, 0.38529524207115173, 0.3947879374027252, 0.4233455955982208, 0.4358576238155365, 0.46307480335235596, 0.5692371726036072, 0.37759920954704285, 0.348392128944397]","[[-1.25225892e-03 -9.20387179e-04 -1.62015828e-04 ... -2.78623732e-03
  -2.79173777e-03 -4.46936781e-03]
 [ 7.40465577e-03  5.62012790e-03  3.74798740e-03 ...  5.84697217e-03
   3.27162825e-03  2.02916631e-04]
 [-1.36002898e-04 -3.64678353e-03 -1.00938901e-02 ... -1.03149563e-03
  -2.13565677e-03 -3.51130217e-03]
 [ 3.54291499e-03  1.23896077e-02  1.67074874e-02 ...  1.92237571e-02
   1.71238780e-02  1.52663887e-02]
 [ 1.24269845e-03  7.18741631e-04 -1.23383286e-03 ... -9.11206808e-05
   2.12396616e-04  2.07264706e-03]
 [-1.21258572e-03 -1.98677741e-03 -2.09707767e-03 ... -3.19015607e-03
  -2.71607749e-03 -6.10673800e-04]]",123.046875,-113.19866
blues,35,707.9371515,42017.605,"[0.3757628798484802, 0.3294013440608978, 0.4349631071090698, 0.4669985771179199, 0.4603778123855591, 0.5257161259651184, 0.41436171531677246, 0.4739235043525696, 0.45251569151878357, 0.5822624564170837, 0.6537246108055115, 0.3982692062854767]","[[ 1.89429664e-03  3.60319346e-03  1.24958812e-02 ...  9.62532243e-03
   9.27309685e-03  5.86374758e-03]
 [-1.98027388e-03 -3.74642970e-03 -1.33369569e-03 ... -2.59782336e-03
  -1.78814195e-03  1.06404571e-03]
 [-1.49777010e-02 -1.35065094e-02 -1.27938017e-02 ... -1.91806704e-02
  -2.22938508e-02 -1.64211765e-02]
 [ 1.60677359e-02  1.53045803e-02  1.19967386e-02 ...  1.93173140e-02
   1.70100629e-02  9.82367247e-03]
 [ 4.85181169e-03  4.07258856e-03  5.43987948e-03 ...  1.12531653e-03
   2.26420890e-03 -9.32661012e-05]
 [-8.22369009e-04 -1.34926289e-04  1.91575848e-03 ...  5.36050647e-04
   1.50512159e-03  4.91505489e-04]]",129.1992188,-131.485
blues,36,637.5683509,36694.26,"[0.49586522579193115, 0.29928094148635864, 0.27512043714523315, 0.29165634512901306, 0.3931187689304352, 0.6126223206520081, 0.3982871472835541, 0.305205374956131, 0.32592302560806274, 0.42074865102767944, 0.456824392080307, 0.38109347224235535]","[[ 0.00388473  0.0055479   0.00446221 ... -0.0038459  -0.00350843
  -0.00270509]
 [-0.00262248 -0.00313119 -0.00469318 ... -0.00970955 -0.00451248
  -0.00211442]
 [ 0.00832736  0.01007397  0.00503156 ...  0.006133   -0.00010125
   0.00311162]
 [ 0.00744073  0.00421187 -0.00018899 ... -0.00364619 -0.00505783
  -0.0032402 ]
 [ 0.00321489  0.0035707   0.00291858 ...  0.00413489  0.00488631
   0.00435302]
 [-0.00076902  0.00065223  0.00315542 ... -0.00020846 -0.00072877
   0.00054193]]",129.1992188,-121.76583
blues,37,861.4663627,28821.572,"[0.509249746799469, 0.23920854926109314, 0.20631785690784454, 0.3333297073841095, 0.4716358780860901, 0.7243786454200745, 0.4495580494403839, 0.34163597226142883, 0.3128395080566406, 0.3136247992515564, 0.2997698187828064, 0.3428131639957428]","[[-1.10584801e-03 -5.96680292e-04  2.69112368e-04 ...  5.88576933e-03
   6.13820531e-03  3.24548524e-03]
 [-4.26624608e-03 -5.73721209e-03 -7.06866919e-03 ... -8.48288130e-03
  -4.52890454e-03 -1.51362590e-04]
 [ 4.04518098e-03  2.69478559e-03  1.81622058e-03 ... -4.21255827e-03
  -5.78241795e-03  2.61640549e-03]
 [ 1.39463693e-03 -1.16296858e-03 -8.76322389e-04 ...  5.82111627e-03
   3.75486910e-03  1.71481818e-03]
 [-7.03149426e-05  9.53599024e-04  1.28593916e-03 ... -1.54227656e-03
  -1.82883697e-03  3.39430343e-03]
 [-3.93176451e-04 -1.79473311e-04 -1.37593411e-03 ...  2.18629092e-03
   3.74131836e-03  2.83797272e-03]]",151.9990809,-90.29736
